<span style=color:grey>Feb 7</span>,<span style=color:grey>Deadline for posting projects to be considered in the OSPO's GSoC mentor organization application</span>
<span style=color:grey>Feb 22</span>,<span style=color:grey>Accepted Mentor Organizations announced by GSoC - </span> <span style=color:red>OSPO Accepted!</span>
<span style=color:grey>Feb 22 - Apr 3</span>,"<span style=color:grey>Mentors help candidates improving their applications, applications are submitted</span>"
<span style=color:grey>Mar 20</span>,<span style=color:grey>Deadline for students to join Slack channel (a student proposal requirement -- do so as early as possible)</span>
<span style=color:grey>Apr 4</span>,<span style=color:grey>Student proposal deadline</span>
<span style=color:grey>Apr 5 - 22</span>,<span style=color:grey>Mentors evaluate and rank student proposals</span>
<span style=color:grey>Apr 22</span>,"<span style=color:grey>Rankings due from mentors, sent to OSRE Org Admins</span>"
<span style=color:grey>Apr 27</span>,<span style=color:grey>Student proposal rankings completed by Org Admins</span>
<span style=color:grey>May 4</span>,<span style=color:grey>Accepted student proposals announced -</span> <span style=color:red>14 students funded!</span>
<span style=color:blue;font-weight:bold>May 4 - May 28</span>,"<span style=color:blue;font-weight:bold>Community Bonding / Onboarding</span>"
